big_occupation,company,company_url,job_tag,job_title,job_url,language,locate,max_salary,min_salary,small_occupation
エンジニア・技術職（システム/ネットワーク）,シンテグレート 合同会社,https://green-japan.com/company/6845,CATIAスペシャリスト,【Catia  specialist】建築ITの最先端！設計自動化ツール開発に関わるエンジニア,https://www.green-japan.com/job/96790,C，VBA,東京都,900万円,300万円,システム開発（Web/オープン系）
営業職,quatre 株式会社,https://green-japan.com/company/6910,セールス責任者候補,【セールス責任者候補】大型資金調達済み！セールス部門を指揮していただける方を募集！,https://www.green-japan.com/job/95915,,東京都,,500万円,営業マネージャー・営業管理職
エンジニア・技術職（システム/ネットワーク）,アデコ 株式会社,https://green-japan.com/company/5226,【NW/サーバエンジニア】首都圏勤務,【平均残業10.8時間】透明度が高い納得の評価制度とキャリアに応じてプロジェクトをご提案！大手優良企業プロジェクトのみ/勝手なアサイン無し/副業OK等エンジニアファーストな環境です。,https://www.green-japan.com/job/78879,C#，C，ASP，PHP，Ruby，Java，Python，Swift，oracle,東京都,800万円,340万円,ネットワーク/サーバ監視・運用・保守・技術サポート
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（九州ＤＣ）,【システムエンジニア（岡山）】勤務先は大手メーカー！東証一部上場Ｇで安心！福利厚生充実◎,https://www.green-japan.com/job/77838,PostgreSQL,岡山県,600万円,360万円,システム開発（Web/オープン系）
クリエイティブ職（Web）,株式会社 ウェブクルー,https://green-japan.com/company/1751,Webデザイナー,デザインに集中できる環境がここにあります！デザイナー募集！※週2回のリモートワーク制度（テレワーク先駆者百選企業に選出）/※平均残業20時間/※年間休日130日,https://www.green-japan.com/job/46761,,東京都,500万円,350万円,Webデザイナー・UI/UXデザイナー
エンジニア・技術職（システム/ネットワーク）,シンテグレート 合同会社,https://green-japan.com/company/6845,CADスペシャリスト,【CAD specialist】著名建築家の複雑な形状の建築物を最先端CADを使ってコントロールして実現できるスペシャリスト募集！,https://www.green-japan.com/job/96789,,東京都,900万円,300万円,ITコンサルタント・プリセールス
エンジニア・技術職（システム/ネットワーク）,シンテグレート 合同会社,https://green-japan.com/company/6845,BIMコンサルタント,【BIMコンサルタント】世界レベルのBIMを学びながら著名プロジェクトや大企業をBIMでコンサルティング,https://www.green-japan.com/job/96787,,東京都,900万円,300万円,ITコンサルタント・プリセールス
営業職,quatre 株式会社,https://green-japan.com/company/6910,セールス,【アカウントエグゼクティブ(セールス)】大型資金調達済み！アカウントエグゼクティブ募集！新しい商品体験をユーザーへ届ける！,https://www.green-japan.com/job/95636,,東京都,600万円,400万円,企画営業・アカウントプランナー
エンジニア・技術職（システム/ネットワーク）,quatre 株式会社,https://green-japan.com/company/6910,サーバーサイドエンジニア,【Ruby on Rails】大阪初スタートアップ！新しい広告プラットフォームリリースでアドテクエンジニア募集！,https://www.green-japan.com/job/95888,Ruby，Ruby on Rails，IoT,東京都,800万円,400万円,システム開発（Web/オープン系）
エンジニア・技術職（システム/ネットワーク）,quatre 株式会社,https://green-japan.com/company/6910,iosエンジニア,【Swift】大阪初スタートアップ！aircatalogの最重要ファクターとなるiOSアプリエンジニア大募集！,https://www.green-japan.com/job/95637,Swift，iOS,東京都,700万円,400万円,システム開発（モバイル系）
エンジニア・技術職（システム/ネットワーク）,quatre 株式会社,https://green-japan.com/company/6910,リードエンジニア,【リードエンジニア】受賞実績有！新しい広告プラットフォームリリースでアドテクエンジニア募集！,https://www.green-japan.com/job/95669,Ruby，Ruby on Rails，IoT,東京都,800万円,400万円,システム開発（Web/オープン系）
経理・管理・バックオフィス職,quatre 株式会社,https://green-japan.com/company/6910,広報・PR,【広報・PR】経営戦略の重要なポジションである広報＆CEOの右腕として働いてくれる方募集！,https://www.green-japan.com/job/96666,,東京都,,,広報・IR
エンジニア・技術職（システム/ネットワーク）,株式会社 ビデオリサーチ,https://green-japan.com/company/6885,インフラエンジニア,【インフラエンジニア】TV視聴率調査のシステム全般に携わりたい方,https://www.green-japan.com/job/96104,AWS，IoT，SRE,東京都,800万円,480万円,システム開発（Web/オープン系）
