big_occupation,company,company_url,job_tag,job_title,job_url,language,locate,salary,small_occupation
経理・管理・バックオフィス職,株式会社 クロスゲームズ,https://green-japan.com/company/929,経理・財務,共にIPOを目指すバックオフィスメンバーを募集！,https://www.green-japan.com/job/95355,,東京都,360万円〜720万円,財務・会計・経理
企画・マーケティング職,株式会社 アトラエ,https://green-japan.com/company/172,事業企画（プロジェクトリーダー）,【事業企画（PJリーダー）】人生に新たな”熱狂”を。41人で東証一部上場したアトラエの世界への挑戦を、事業と組織の両輪から加速させるアントレプレナー募集。,https://www.green-japan.com/job/58445,,東京都,500万円〜1000万円,事業企画・事業統括
経営・CxO職,ギノ 株式会社,https://green-japan.com/company/4071,【経営企画責任者候補（部門立上げ）】成長期のベンチャーで新しいステージにチャレンジしてみませんか？,【経営企画責任者候補（部門立上げ）】成長期ベンチャーの参謀として「企業成長」を実現させる醍醐味を味わえます／新しいステージにチャレンジしませんか？,https://www.green-japan.com/job/88158,,東京都,600万円〜900万円,CEO・経営企画・経営管理
経理・管理・バックオフィス職,ギノ 株式会社,https://green-japan.com/company/4071,【CHRO候補】経営視点での戦略人事・組織開発責任者を募集！,『CHRO候補（戦略人事・組織開発mgr）』経営視点から人事労務業務全般、採用人事メンバーのマネジメント等を担う社長直下ポジション募集！,https://www.green-japan.com/job/95266,,東京都,700万円〜900万円,人事・総務
経営・CxO職,ギノ 株式会社,https://green-japan.com/company/4071,【VPoE候補】自社サービス開発　エンジニアリングマネージャー募集！,【VPoE候補】自社サービス開発　エンジニアリングマネージャー募集！自社サービスpaizaの開発からチームマネジメント業務をお任せできる方を募集しています,https://www.green-japan.com/job/76403,,東京都,720万円〜1200万円,CTO・CIO
企画・マーケティング職,株式会社 情報戦略テクノロジー,https://green-japan.com/company/1606,事業部長 / まっすぐすぎる企業の新設部門・部長候補,事業部長職は、経営者で選んでください。,https://www.green-japan.com/job/94491,,東京都,800万円〜1000万円,事業企画・事業統括
エンジニア・技術職（システム/ネットワーク）,株式会社 ギブリー,https://green-japan.com/company/2351,エンジニア育成領域のカスタマーサクセス,【総務大臣賞受賞サービス】日本中のエンジニア組織のDX型人材輩出を支援するカスタマーサクセス募集！,https://www.green-japan.com/job/95896,AWS,東京都,600万円〜840万円,プロジェクトマネージャー（PM）・リーダー
エンジニア・技術職（システム/ネットワーク）,株式会社 アスラボ,https://green-japan.com/company/5277,【リモートワーク可能！】PM・プロダクトマネージャー,日本の料理人が世界へ羽ばたく仕組みを作るPMを募集！,https://www.green-japan.com/job/82677,,東京都,600万円〜,プロダクトマネージャー
企画・マーケティング職,アシアル 株式会社,https://green-japan.com/company/3072,マーケティングを中心とした会社や製品プロモーションのリーダー的役割,自社サービスを中心に会社のメッセージ発信に取り組み、発展に協力していただける方を募集しています,https://www.green-japan.com/job/95808,,東京都,500万円〜800万円,マーケ・広告宣伝・販促・PR
企画・マーケティング職,株式会社 情報戦略テクノロジー　コア技術部門,https://green-japan.com/company/4969,事業部長 / まっすぐすぎる企業の新設部門・部長候補,事業部長職は、経営者で選んでください。,https://www.green-japan.com/job/94541,,東京都,800万円〜1000万円,事業企画・事業統括
経営・CxO職,FUEL 株式会社（旧クラウド・インベストメント株式会社）,https://green-japan.com/company/6470,新規事業開発,新規事業開発を担うプロフェッショナル募集,https://www.green-japan.com/job/95765,,,東京都,CEO・経営企画・経営管理
企画・マーケティング職,株式会社 BTM（旧名：株式会社 ビジネストータルマネージメント）,https://green-japan.com/company/5042,新規事業創出経営企画室メンバー,【アジアで活躍する企業100に選出】日本の活性化をするために新規事業創出経営企画室メンバー募集！,https://www.green-japan.com/job/86830,,東京都,300万円〜700万円,事業企画・事業統括
